Trans. Date,Amount,Category
09/02/2023,-1502.74,Payments and Credits
08/29/2023,54.93,Merchandise
08/28/2023,447.83,Merchandise
08/27/2023,3.81,Travel/ Entertainment
08/27/2023,26.00,Restaurants
08/26/2023,20.00,Merchandise
08/23/2023,21.86,Restaurants
08/23/2023,14.22,Supermarkets
08/22/2023,-21.00,Awards and Rebate Credits
08/22/2023,-629.00,Payments and Credits
08/20/2023,3.33,Merchandise
08/20/2023,15.60,Restaurants
08/19/2023,14.40,Services
08/19/2023,25.48,Services
08/18/2023,17.48,Restaurants
08/16/2023,8.91,Merchandise
08/14/2023,4.00,Services
08/14/2023,8.19,Merchandise
08/14/2023,62.40,Services
08/11/2023,17.85,Restaurants
08/10/2023,1.50,Services
08/08/2023,4.00,Services
08/07/2023,25.87,Merchandise
08/06/2023,34.00,Government Services
08/05/2023,21.00,Government Services
08/04/2023,2.00,Services
08/04/2023,98.42,Supermarkets
08/04/2023,742.69,Travel/ Entertainment
08/02/2023,2.70,Restaurants
